,Num,thre,Opt_p_cl(N_est),Opt_p_cl(Max_f),MCC(cl),Error(cl),Accur(cl),Opt_p_reg(N_est),Opt_p_reg(Max_f),MCC(reg.),Error(reg),Accur(reg)
90,1.0,6.5,101.0,512.0,0.509855631727803,0.14537037037037034,0.8546296296296297,101.0,768.0,0.3817821194376604,0.175,0.825
91,2.0,6.5,500.0,768.0,0.44453962264051705,0.13796296296296298,0.862037037037037,500.0,512.0,0.43070747560086564,0.13796296296296298,0.862037037037037
92,3.0,6.5,101.0,512.0,0.4824286775713923,0.14629629629629629,0.8537037037037039,500.0,256.0,0.50000670242803,0.1388888888888889,0.861111111111111
93,4.0,6.5,500.0,512.0,0.579344995903877,0.13703703703703704,0.8629629629629629,500.0,768.0,0.5586362017598494,0.13796296296296298,0.862037037037037
94,5.0,6.5,300.0,512.0,0.5498192007817144,0.12685185185185185,0.8731481481481481,300.0,768.0,0.4424750440040959,0.14537037037037037,0.8546296296296296
95,6.0,6.5,300.0,256.0,0.5459656427754488,0.12592592592592594,0.874074074074074,101.0,768.0,0.4860953113104539,0.1388888888888889,0.861111111111111
96,7.0,6.5,500.0,256.0,0.4379351529582153,0.14907407407407408,0.850925925925926,300.0,256.0,0.39071431788381017,0.1574074074074074,0.8425925925925926
97,8.0,6.5,500.0,256.0,0.5249095464420511,0.13333333333333336,0.8666666666666666,500.0,512.0,0.43843834862370434,0.15185185185185185,0.8481481481481481
98,9.0,6.5,300.0,768.0,0.452047834431085,0.15925925925925927,0.8407407407407407,101.0,768.0,0.4734118463522939,0.15370370370370373,0.8462962962962962
99,10.0,6.5,300.0,768.0,0.5279264926098607,0.13240740740740742,0.8675925925925926,500.0,768.0,0.4878553069716095,0.1388888888888889,0.861111111111111
100,11.0,6.5,300.0,256.0,0.5796607137679531,0.11574074074074074,0.8842592592592593,500.0,768.0,0.4426951825746472,0.14444444444444443,0.8555555555555555
101,12.0,6.5,300.0,256.0,0.47234424637302863,0.14537037037037037,0.8546296296296297,500.0,512.0,0.44908445103776684,0.14444444444444443,0.8555555555555557
102,13.0,6.5,500.0,256.0,0.4135691291882635,0.17037037037037037,0.8296296296296297,101.0,512.0,0.3754166304491312,0.17777777777777776,0.8222222222222222
103,14.0,6.5,500.0,256.0,0.4872690718228128,0.1564814814814815,0.8435185185185186,500.0,768.0,0.41908203664670235,0.17222222222222222,0.8277777777777778
104,15.0,6.5,300.0,768.0,0.5339399667026091,0.13055555555555556,0.8694444444444445,101.0,768.0,0.5327904094046069,0.1287037037037037,0.8712962962962963
105,16.0,6.5,500.0,256.0,0.5161600747209516,0.12962962962962962,0.8703703703703705,500.0,512.0,0.4731792578935606,0.1388888888888889,0.861111111111111
106,17.0,6.5,300.0,768.0,0.5781726455217207,0.12129629629629628,0.8787037037037038,500.0,512.0,0.5614360685968866,0.1222222222222222,0.8777777777777779
107,18.0,6.5,500.0,512.0,0.5247761435892256,0.14259259259259258,0.8574074074074074,300.0,768.0,0.5063888238260952,0.1472222222222222,0.8527777777777776
108,19.0,6.5,500.0,512.0,0.6577653700669506,0.10462962962962963,0.8953703703703703,500.0,512.0,0.6082435430056325,0.11851851851851851,0.8814814814814815
109,20.0,6.5,500.0,256.0,0.5086610629544638,0.14814814814814814,0.8518518518518519,500.0,768.0,0.4781659068613234,0.15555555555555553,0.8444444444444444
