smiles,chembl_id,potency,pec50,category
CC(C)(C)OC(=O)n1c(cc2ccccc12)c3ccc4CC(Cc4c3)NS(=O)(=O)c5ccccc5C#N,CHEMBL399115,60,7.22184874961636,active
CC(C)(C)OC(=O)n1c(cc2ccccc12)c3ccc4CC(Cc4c3)NS(=O)(=O)c5ccccc5F,CHEMBL399116,100,7,active
O=C(CC1CC1)n2c(cc3ccccc23)c4ccc5CC(Cc5c4)NS(=O)(=O)c6ccccc6,CHEMBL399266,1160,5.93554201077308,inactive
CC(C)(C)OC(=O)n1c(cc2c(OCc3ccccc3)cccc12)c4ccc5CC(Cc5c4)NS(=O)(=O)c6ccccc6,CHEMBL399376,30000,4.52287874528034,inactive
CC(C)(C)OC(=O)n1c(cc2ccccc12)c3ccc4CC(Cc4c3)NC(=O)c5ccccc5F,CHEMBL399428,170,6.76955107862173,active
CC(C)(C)OC(=O)n1c(cc2c(O)cccc12)c3ccc4CC(Cc4c3)NS(=O)(=O)c5ccccc5,CHEMBL399452,30000,4.52287874528034,inactive
CC(C)(C)OC(=O)n1c(cc2cc(ccc12)C#N)c3ccc4CC(Cc4c3)NS(=O)(=O)c5ccccc5,CHEMBL399453,26000,4.58502665202918,inactive
CC(C)(C)OC(=O)n1c(cc2ccccc12)c3ccc4CC(Cc4c3)NS(=O)(=O)c5cccc(Cl)c5,CHEMBL400121,1810,5.74232142513082,inactive
Cc1ccccc1S(=O)(=O)NC2Cc3ccc(cc3C2)c4cc5ccccc5n4C(=O)OC(C)(C)C,CHEMBL400122,200,6.69897000433602,active
CCCCCC(=O)n1c(cc2ccccc12)c3ccc4CC(Cc4c3)NS(=O)(=O)c5ccccc5,CHEMBL400701,2100,5.67778070526608,inactive
O=S(=O)(NC1Cc2ccc(cc2C1)c3cc4ccccc4n3Cc5ccccc5)c6ccccc6,CHEMBL400702,30000,4.52287874528034,inactive
CC(C)(C)OC(=O)n1c(cc2ccccc12)c3ccc4CC(Cc4c3)NS(=O)(=O)c5ccc(s5)c6ccon6,CHEMBL400937,503,6.32379295995467,active
Cc1ccc2cc(c3ccc4CC(Cc4c3)NS(=O)(=O)c5ccccc5)n(C(=O)OC(C)(C)C)c2c1,CHEMBL401089,300,6.52287874528034,active
COC(=O)n1c(cc2ccccc12)c3ccc4CC(Cc4c3)NS(=O)(=O)c5ccccc5,CHEMBL401090,30000,4.52287874528034,inactive
CC(C)(C)OC(=O)n1c(cc2ccc(OCc3ccccc3)cc12)c4ccc5CC(Cc5c4)NS(=O)(=O)c6ccccc6,CHEMBL403130,30000,4.52287874528034,inactive
Oc1cc(O)c2cc(O)c([o+]c2c1)c3ccc(O)c(O)c3,CHEMBL404515,125200,3.90239567112559,inactive
CC[C@@H](C(C)C)[C@@H]1O[C@H]1[C@@H](C)[C@H]2CC[C@H]3[C@@H]4CC=C5C[C@@H](O)CC[C@]5(C)[C@H]4CC[C@]23C,CHEMBL4061349,12720,4.89551288868761,inactive
Cc1ccc(cc1)c2noc(n2)c3ccccc3Br,CHEMBL406557,67529,4.17050968146148,inactive
CC[C@@H](C(C)C)[C@H](O)C[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,CHEMBL4067156,2700,5.56863623584101,inactive
CC(C)[C@@H](C)[C@@H]1O[C@H]1[C@@H](C)[C@H]2CC[C@H]3C4=CC=C5C[C@@H](O)CC[C@]5(C)[C@H]4CC[C@]23C,CHEMBL4070016,1960,5.70774392864352,inactive
CC[C@@H](C(C)C)C(=O)C[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,CHEMBL4078083,6020,5.22040350874218,inactive
Clc1cccc(c1)c2onc(n2)c3ccccn3,CHEMBL408653,67541,4.17043251356636,inactive
CC(C)[C@@H](C)C[C@H](O)[C@@H](C)[C@H]1CC[C@H]2C3=CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,CHEMBL4086897,1960,5.70774392864352,inactive
CC[C@@H](C(C)C)[C@H]1O[C@@H]1[C@@H](C)[C@H]2CC[C@H]3[C@@H]4CC=C5C[C@@H](O)CC[C@]5(C)[C@H]4CC[C@]23C,CHEMBL4089508,3790,5.42136079003193,inactive
CCN(C(C(=O)N1CCCCC1)c2ccccc2)c3ccc(cc3)C(O)(C(F)(F)F)C(F)(F)F,CHEMBL409212,2200,5.65757731917779,inactive
CC[C@H](C[C@@H](O)[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C)C(C)C,CHEMBL4094610,2310,5.63638802010786,inactive
CC(C)[C@@H](C)[C@H]1O[C@@H]1[C@@H](C)[C@H]2CC[C@H]3C4=CC=C5C[C@@H](O)CC[C@]5(C)[C@H]4CC[C@]23C,CHEMBL4097209,7200,5.14266750356873,inactive
COc1cccc(C2SC(=NN2C(=O)c3cccc(Cl)c3)c4ccc(F)cc4)c1OC,CHEMBL413795,250,6.60205999132796,active
C[C@@]1(CCC[C@@]2(C)[C@H]1CCc3ccc(O)cc23)C(=O)O,CHEMBL421115,50000,4.30102999566398,inactive
CC(C)CC[C@@H](O)[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,CHEMBL422904,11583.3333333333,4.99037462408792,inactive
C[C@@]1(CCC[C@@]2(C)[C@H]1CCc3ccc(O)cc23)C(=O)NC4CC5CCC4C5,CHEMBL424831,50000,4.30102999566398,inactive
FC(F)(F)c1cccc2c(c3ccccc3)c(cnc12)C(=O)c4ccccc4,CHEMBL425099,1400,5.85387196432176,inactive
C[C@@]1(CCC[C@@]2(C)[C@H]1CCc3ccc(O)cc23)C(=O)OCCCC=C,CHEMBL426289,50000,4.30102999566398,inactive
CCCc1c(OCCCN(C)c2ccc(CC(=O)O)c(C)c2)ccc3c(noc13)C(F)(F)F,CHEMBL427040,303,6.5185573714977,active
C[C@@]1(CCC[C@@]2(C)[C@H]1CCc3ccc(O)cc23)C(=O)OCc4ccccc4,CHEMBL427183,15000,4.82390874094432,inactive
COc1cccc([C@H]2SC(=NN2C(=O)c3c(F)cc(F)cc3F)c4ccc(Cl)cc4)c1OC,CHEMBL427697,65,7.1872923239228,active
COc1ccc2c(c1)cc(c3ccc4CC(Cc4c3)NS(=O)(=O)c5ccccc5)n2C(=O)OC(C)(C)C,CHEMBL427707,28000,4.55284196865778,inactive
COc1ccc2cc(c3ccc4CC(Cc4c3)NS(=O)(=O)c5ccccc5)n(C(=O)OC(C)(C)C)c2c1,CHEMBL428051,1600,5.79588001734408,inactive
CCc1ccc(cc1)S(=O)(=O)NC2Cc3ccc(cc3C2)c4cc5ccccc5n4C(=O)OC(C)(C)C,CHEMBL428757,650,6.18708664335714,active
CCOc1ccc2nc(NC(=O)Nc3cccs3)sc2c1,CHEMBL428789,67541,4.17043251356636,inactive
Cc1onc(C)c1S(=O)(=O)NC2Cc3ccc(cc3C2)c4cc5ccccc5n4C(=O)OC(C)(C)C,CHEMBL429117,130,6.88605664769316,active
Brc1oc(cc1)c2onc(n2)c3ccccn3,CHEMBL429335,67541,4.17043251356636,inactive
COc1cccc(C2SC(=NN2C(=O)c3cc(F)cc(F)c3)c4ccc(F)cc4)c1OC,CHEMBL429818,470,6.32790214206428,active
OC(c1ccc(cc1)N(CC(F)(F)F)S(=O)(=O)c2ccccc2)(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)F,CHEMBL430006,630.96,6.19999817218203,active
C[C@H](CC[C@@H]1OC1(C)C)[C@H]2CC[C@H]3[C@@H]4CC=C5C[C@@H](O)CC[C@]5(C)[C@H]4CC[C@]23C,CHEMBL434302,284.666666666667,6.57208823127238,active
COc1ccc(Cn2c(cc3ccccc23)c4ccc5CC(Cc5c4)NS(=O)(=O)c6ccccc6)cc1,CHEMBL437773,30000,4.52287874528034,inactive
CC(C)(C)OC(=O)n1c(cc2ccccc12)c3ccc4CC(Cc4c3)NS(=O)(=O)C,CHEMBL438524,210,6.67778070526608,active
COc1cccc(C2SC(=NN2C(=O)c3ccc(F)cc3F)c4ccc(Cl)cc4)c1OC,CHEMBL442416,980,6.00877392430751,active
Cc1cnc2c(cccc2c1c3cccc(CNc4cccc5c(CC(=O)O)cccc45)c3)C(F)(F)F,CHEMBL442437,4167,5.38017649954272,inactive
OC(=O)Cn1ccc2c(OCCCN(CC(c3ccccc3)c4ccccc4)Cc5cccc(c5Cl)C(F)(F)F)cccc12,CHEMBL446208,4,8.39794000867204,active
CCN(CC(O)c1ccccc1)c2ccc(cc2)C(O)(C(F)(F)F)C(F)(F)F,CHEMBL448111,200,6.69897000433602,active
Cc1cc(OCCCN(CC(c2ccccc2)c3ccccc3)Cc4cccc(c4Cl)C(F)(F)F)n5ncnc5n1,CHEMBL450200,560,6.2518119729938,active
